FarFromStation,Age,Price,ManagementPrice,TotalPrice
33,28,7.4,0.3,7.7
11,23,7.3,0.3,7.6
9,30,7.8,0.2,8.0
10,26,9.2,0.45,9.649999999999999
10,26,9.4,0.45,9.85
8,30,7.8,0.2,8.0
10,26,9.4,0.45,9.85
3,26,8.3,0.0,8.3
3,26,8.3,0.0,8.3
3,26,8.3,0.0,8.3
12,23,9.65,0.35,10.0
12,26,9.4,0.45,9.85
12,35,5.6,0.8,6.3999999999999995
9,15,8.0,0.0,8.0
10,15,8.0,0.0,8.0
9,21,8.4,0.3,8.700000000000001
9,5,9.95,1.45,11.399999999999999
11,15,8.0,0.0,8.0
10,5,9.95,1.45,11.399999999999999
10,5,9.95,1.45,11.399999999999999
30,28,8.5,0.3,8.8
30,28,8.5,0.3,8.8
30,28,8.5,0.3,8.8
12,17,7.8,0.2,8.0
6,12,10.6,0.3,10.9
9,26,9.4,0.45,9.85
30,31,7.9,0.5,8.4
30,31,7.9,0.5,8.4
11,23,7.3,0.3,7.6
11,23,7.3,0.3,7.6
14,17,7.5,0.2,7.7
10,26,9.4,0.45,9.85
10,26,9.4,0.45,9.85
10,26,9.4,0.45,9.85
10,26,9.4,0.45,9.85
10,26,9.4,0.45,9.85
10,26,9.4,0.45,9.85
10,26,9.4,0.45,9.85
10,26,9.4,0.45,9.85
10,26,9.2,0.45,9.649999999999999
8,30,7.8,0.2,8.0
8,30,7.8,0.2,8.0
10,26,9.4,0.45,9.85
3,22,9.5,0.5,10.0
2,21,9.4,0.6,10.0
3,26,8.3,0.0,8.3
3,26,8.3,0.0,8.3
10,27,6.5,0.3,6.8
12,23,9.65,0.35,10.0
12,23,9.65,0.35,10.0
12,23,9.65,0.35,10.0
10,27,6.5,0.3,6.8
8,29,6.7,0.0,6.7
2,26,8.3,0.0,8.3
2,26,8.3,0.0,8.3
2,27,8.0,0.0,8.0
9,34,7.3,0.2,7.5
12,28,7.9,0.3,8.200000000000001
1,19,11.7,0.8,12.5
33,33,7.4,0.2,7.6000000000000005
12,32,7.5,0.4,7.9
10,34,6.7,0.3,7.0
33,33,7.1,0.2,7.3
2,33,8.5,0.4,8.9
13,32,7.6,0.3,7.8999999999999995
13,32,7.4,0.3,7.7
9,41,6.3,0.2,6.5
12,34,5.6,0.8,6.3999999999999995
15,34,6.6,0.6,7.199999999999999
15,34,6.6,0.6,7.199999999999999
18,34,7.2,0.2,7.4
18,34,6.9,0.2,7.1000000000000005
31,24,7.4,0.3,7.7
25,33,8.2,0.5,8.7
